Rating;Rating Agency;Corporation;Year;Default Probability;Predicted Rating
BBB+;Standard & Poor's Ratings Services;CVS Health Corporation;2011;0.000009272015203;B
BBB;Standard & Poor's Ratings Services;CVS Health Corporation;2011;0.000009036980592;B
A-;Standard & Poor's Ratings Services;California Water Service Co.;2011;0.365492112728116;AAA
A-;Standard & Poor's Ratings Services;California Water Service Co.;2011;0.371644324914444;AAA
B;Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;2011;0.000029314781330;BBB
B;Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;2011;0.000022880699348;BBB
B;Standard & Poor's Ratings Services;Calumet Specialty Products Partners LP;2011;0.000026076418855;BBB
A;Standard & Poor's Ratings Services;Cameco Corp.;2011;0.000036414198409;AAA
BBB;Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;2011;0.000043614037152;B
BBB;Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;2011;0.000038781247517;B
BBB+;Standard & Poor's Ratings Services;Canadian Natural Resources Ltd.;2011;0.000021794715428;B
A-;Standard & Poor's Ratings Services;Cardinal Health Inc.;2011;0.000167007677601;AAA
BBB;Standard & Poor's Ratings Services;Carpenter Technology Corp.;2011;0.000025034481093;B
BBB;Standard & Poor's Ratings Services;Carpenter Technology Corp.;2011;0.000011958934223;B
AA;Standard & Poor's Ratings Services;Caterpillar Inc.;2011;0.346952812696459;AAA
BBB+;Standard & Poor's Ratings Services;Cenovus Energy Inc.;2011;0.000015749963665;B
B+;Standard & Poor's Ratings Services;Central Garden & Pet Co.;2011;0.000119025391224;BBB
B;Standard & Poor's Ratings Services;Central Garden & Pet Co.;2011;0.000088336660307;BBB
AA;Standard & Poor's Ratings Services;Chevron Corporation;2011;0.888818155775244;AA
CCC+;Standard & Poor's Ratings Services;Ciena Corp.;2011;0.000028747818556;C
BBB+;Standard & Poor's Ratings Services;Comcast Corp.;2011;0.000058098643147;AAA
CCC;Standard & Poor's Ratings Services;Commercial Vehicle Group Inc.;2011;0.000000000000929;C
BB+;Standard & Poor's Ratings Services;Companhia de Saneamento Basico do Estado de Sao Paulo;2011;0.000034934330709;BB
A-;Standard & Poor's Ratings Services;Compass Group PLC;2011;0.000055044418819;AAA
B;Standard & Poor's Ratings Services;Comstock Resources Inc.;2011;0.000004124096123;BBB
B;Standard & Poor's Ratings Services;Comstock Resources Inc.;2011;0.000002865800920;BBB
A;Standard & Poor's Ratings Services;ConocoPhillips;2011;0.000821423156917;AAA
BB+;Standard & Poor's Ratings Services;Constellation Brands Inc.;2011;0.000047352948126;BB
BBB+;Standard & Poor's Ratings Services;Cummins Inc.;2011;0.186869206903577;AAA
A;Standard & Poor's Ratings Services;Cummins Inc.;2011;0.185491085286273;AAA
CCC+;Standard & Poor's Ratings Services;Cumulus Media Inc.;2011;0.000087963419824;C
CCC+;Standard & Poor's Ratings Services;Cumulus Media Inc.;2011;0.000085299622294;C
CCC+;Standard & Poor's Ratings Services;Cumulus Media Inc.;2011;0.000092983942229;C
CCC+;Standard & Poor's Ratings Services;Cumulus Media Inc.;2011;0.000108811986061;C
BB-;Standard & Poor's Ratings Services;D.R. Horton Inc.;2011;0.000055769085904;BB
BB-;Standard & Poor's Ratings Services;D.R. Horton Inc.;2011;0.000061723919596;BB
A;Standard & Poor's Ratings Services;DENTSPLY SIRONA Inc.;2011;0.000111823653160;AAA
A;Standard & Poor's Ratings Services;DENTSPLY SIRONA Inc.;2011;0.000116452425277;AAA
A;Standard & Poor's Ratings Services;DENTSPLY SIRONA Inc.;2011;0.000116440737187;AAA
BBB+;Standard & Poor's Ratings Services;DTE Energy Center LLC;2011;0.000230211263052;AAA
BBB+;Standard & Poor's Ratings Services;DTE Energy Center LLC;2011;0.000189965770173;AAA
A;Standard & Poor's Ratings Services;DTE Energy Co.;2011;0.000155587598546;AAA
B;Standard & Poor's Ratings Services;Dana Incorporated;2011;0.000100797158772;BBB
B;Standard & Poor's Ratings Services;Dana Incorporated;2011;0.000070949533753;BBB
A+;Standard & Poor's Ratings Services;Danaher Corp.;2011;0.642463522955528;AA
BBB+;Standard & Poor's Ratings Services;Devon Energy Corp.;2011;0.000165057642644;B
BBB+;Standard & Poor's Ratings Services;Devon Energy Corp.;2011;0.000107251160522;B
A;Standard & Poor's Ratings Services;Diageo PLC;2011;0.000089783508951;AAA
BB;Standard & Poor's Ratings Services;Douglas Dynamics LLC;2011;0.000129108080290;BB
A;Standard & Poor's Ratings Services;Dover Corp.;2011;0.494856997601314;AAA
AA;Standard & Poor's Ratings Services;Dover Corp.;2011;0.481108610668200;AAA
BBB+;Standard & Poor's Ratings Services;EOG Resources Inc.;2011;0.000045598647734;AAA
BBB;Standard & Poor's Ratings Services;EOG Resources Inc.;2011;0.000046028304262;AAA
BBB;Standard & Poor's Ratings Services;EQT Corporation;2011;0.000020893835750;B
BBB;Standard & Poor's Ratings Services;EQT Corporation;2011;0.000013607085335;B
BBB;Standard & Poor's Ratings Services;EQT Corporation;2011;0.000017162552346;B
BBB;Standard & Poor's Ratings Services;Eastman Chemical Co.;2011;0.000004321178431;B
CC;Standard & Poor's Ratings Services;Eastman Kodak Co.;2011;0.000025990911092;CCC
A;Standard & Poor's Ratings Services;Ecolab Inc.;2011;0.000263518154940;AAA
AA-;Standard & Poor's Ratings Services;Eli Lilly & Co.;2011;0.708558978044934;AA
A;Standard & Poor's Ratings Services;Emerson Electric Co.;2011;0.184076720200355;AAA
A-;DBRS;Enbridge Inc.;2011;0.000007204778184;AAA
BB-;Standard & Poor's Ratings Services;Endo International PLC;2011;0.000160251923491;BB
BB;Standard & Poor's Ratings Services;EnerSys;2011;0.000047698233990;BB
BBB-;Standard & Poor's Ratings Services;Entergy Corp;2011;0.000119176380467;AAA
BBB-;Standard & Poor's Ratings Services;Enterprise Products Operating LLC;2011;0.000036354608522;B
BBB-;Standard & Poor's Ratings Services;Enterprise Products Operating LLC;2011;0.000022827177236;B
BBB+;Standard & Poor's Ratings Services;Equifax Inc.;2011;0.000029829256256;B
BB-;Standard & Poor's Ratings Services;Equinix Inc.;2011;0.000016921960373;BB
BB-;Standard & Poor's Ratings Services;Equinix Inc.;2011;0.000016868418587;BB
BBB;Standard & Poor's Ratings Services;Exelon Corp.;2011;0.000088038238786;B
BBB-;Standard & Poor's Ratings Services;Exelon Corp.;2011;0.000065439362508;B
AAA;Standard & Poor's Ratings Services;Exxon Mobil Corp.;2011;0.272512649787996;A
A;Standard & Poor's Ratings Services;FMC Technologies Inc.;2011;0.000065516369169;AAA
BBB;Standard & Poor's Ratings Services;FedEx Corp.;2011;0.000162817010455;B
BBB-;Standard & Poor's Ratings Services;Fiserv Inc.;2011;0.000015303091454;B
BB-;Standard & Poor's Ratings Services;Flowserve Corp.;2011;0.000051651628206;BB
A;Standard & Poor's Ratings Services;Fluor Corp.;2011;0.000030540243950;AAA
A;Standard & Poor's Ratings Services;General Mills Inc.;2011;0.000046256730741;B
BBB;Standard & Poor's Ratings Services;Gilead Sciences, Inc.;2011;0.000311250829820;AAA
A-;Standard & Poor's Ratings Services;Gilead Sciences, Inc.;2011;0.000281920331423;AAA
AA;Standard & Poor's Ratings Services;GlaxoSmithKline Capital Inc.;2011;0.930403989482520;AA
B;Standard & Poor's Ratings Services;Great Lakes Dredge & Dock Corp.;2011;0.000014838994699;BBB
B;Standard & Poor's Ratings Services;Great Lakes Dredge & Dock Corp.;2011;0.000011555296058;BBB
CCC;Standard & Poor's Ratings Services;Greenbrier Companies Inc. (The);2011;0.000052437469775;C
CCC;Standard & Poor's Ratings Services;Greenbrier Companies Inc. (The);2011;0.000044052542653;C
BB+;Standard & Poor's Ratings Services;Greif Inc.;2011;0.000033234145431;BB
BB;Standard & Poor's Ratings Services;Greif Inc.;2011;0.000031604797960;BB
BB+;Standard & Poor's Ratings Services;Griffon Corp.;2011;0.000046469538025;BB
BB+;Standard & Poor's Ratings Services;Griffon Corp.;2011;0.000042264383274;BB
B;Standard & Poor's Ratings Services;Group 1 Automotive Inc.;2011;0.000041357468419;BB
BB-;Standard & Poor's Ratings Services;Hanesbrands Inc.;2011;0.000065491756363;BB
BBB;Standard & Poor's Ratings Services;Harley-Davidson Inc.;2011;0.000093132942644;B
AA;Standard & Poor's Ratings Services;Hershey Company (The);2011;0.453982621813283;AAA
AA;Standard & Poor's Ratings Services;Honeywell International Inc.;2011;0.611890014202784;AA
A;Standard & Poor's Ratings Services;Hunt (J.B.) Transport Services Inc.;2011;0.000034905085366;B
A;Standard & Poor's Ratings Services;IDACORP Inc.;2011;0.000068168244456;AAA
BBB-;Standard & Poor's Ratings Services;IDEX Corp.;2011;0.000012089412183;B
BBB+;Standard & Poor's Ratings Services;ITT Corp.;2011;0.000009387422406;B
AA;Standard & Poor's Ratings Services;Illinois Tool Works Inc.;2011;0.143375792893451;AAA
A+;Standard & Poor's Ratings Services;Illinois Tool Works Inc.;2011;0.141657954333171;AAA
BBB;Standard & Poor's Ratings Services;Ingredion Incorporated;2011;0.000010041827407;B
A;Standard & Poor's Ratings Services;Intel Corp.;2011;0.000617615799371;AAA
A;Standard & Poor's Ratings Services;Intel Corp.;2011;0.000657354151344;AAA
BB+;Standard & Poor's Ratings Services;Interpublic Group of Cos. Inc.;2011;0.000016825150254;BB
B;Standard & Poor's Ratings Services;Iridium Communications Inc.;2011;0.000018338889319;BBB
BB-;Standard & Poor's Ratings Services;Jabil Inc.;2011;0.000032828386639;BB
B+;Standard & Poor's Ratings Services;JetBlue Airways Corporation;2011;0.000075672570013;BB
AAA;Standard & Poor's Ratings Services;Johnson & Johnson;2011;0.000023902919073;A
AAA;Standard & Poor's Ratings Services;Johnson & Johnson;2011;0.000024307080937;A
A;Standard & Poor's Ratings Services;Johnson (S.C.) & Son Inc.;2011;0.000175402339230;AAA
BBB-;Standard & Poor's Ratings Services;Johnson Controls Inc.;2011;0.000037514177833;B
B-;Standard & Poor's Ratings Services;KB Home;2011;0.000111047317793;BBB
CCC+;Standard & Poor's Ratings Services;KB Home;2011;0.000084580482232;BBB
B-;Standard & Poor's Ratings Services;KB Home;2011;0.000116453147861;BBB
BBB;Standard & Poor's Ratings Services;Kennametal Inc.;2011;0.000022500005193;B
BBB+;Standard & Poor's Ratings Services;Kimberly-Clark Corp.;2011;0.171365617037755;B
BBB-;Standard & Poor's Ratings Services;Kinross Gold Corp.;2011;0.000008717708085;B
BBB+;Standard & Poor's Ratings Services;Kohl's Corp.;2011;0.000036688803313;B
BBB+;Standard & Poor's Ratings Services;Kohl's Corp.;2011;0.000033801985724;B
A-;Standard & Poor's Ratings Services;Koninklijke Philips N.V.;2011;0.000042230599558;AAA
A-;Standard & Poor's Ratings Services;Koninklijke Philips N.V.;2011;0.000051203239356;AAA
B+;Standard & Poor's Ratings Services;Koppers Holdings Inc.;2011;0.000045561831904;BBB
A;Standard & Poor's Ratings Services;Korea Electric Power Corp.;2011;0.124001051405378;AAA
BB+;Standard & Poor's Ratings Services;Lam Research Corp.;2011;0.000137145368434;BB
B-;Standard & Poor's Ratings Services;Lamar Advertising Co.;2011;0.000015985383951;BBB
B;Standard & Poor's Ratings Services;Louisiana-Pacific Corp.;2011;0.000081139677397;BBB
C;Standard & Poor's Ratings Services;M/I Homes, Inc.;2011;0.000261397500297;C
CCC;Standard & Poor's Ratings Services;M/I Homes, Inc.;2011;0.000207687513146;C
CCC-;Standard & Poor's Ratings Services;MGM Resorts International;2011;0.000036350026876;C
CCC;Standard & Poor's Ratings Services;MGM Resorts International;2011;0.000042704488399;BBB
AAA;Standard & Poor's Ratings Services;Madison Gas & Electric Co.;2011;0.000176528095368;A
BBB;Standard & Poor's Ratings Services;Magellan Midstream Partners LP;2011;0.000032389503689;B
BBB-;Standard & Poor's Ratings Services;Marathon Oil Corporation;2011;0.000181945305540;B
A;Standard & Poor's Ratings Services;Martin Marietta Materials Inc.;2011;0.000042670820899;B
B+;Standard & Poor's Ratings Services;MasTec Inc.;2011;0.000072485948625;BB
A-;Standard & Poor's Ratings Services;McCormick & Co. Inc.;2011;0.000044631865639;AAA
A-;Standard & Poor's Ratings Services;McCormick & Co. Inc.;2011;0.000037911976463;AAA
AAA;Standard & Poor's Ratings Services;Merck Sharpe & Dohme Corp.;2011;0.000014909590766;A
B+;Standard & Poor's Ratings Services;Meritage Homes Corporation;2011;0.000040592592062;BBB
CCC+;Standard & Poor's Ratings Services;Meritor Inc.;2011;0.000000000000000;C
BBB-;Standard & Poor's Ratings Services;Methanex Corp.;2011;0.000002439662405;B
BBB-;Standard & Poor's Ratings Services;Methanex Corp.;2011;0.000003385853731;B
BB-;Standard & Poor's Ratings Services;Micron Technology Inc.;2011;0.000098828423417;BB
BB-;Standard & Poor's Ratings Services;Micron Technology Inc.;2011;0.000087510567690;BB
AAA;Standard & Poor's Ratings Services;Microsoft Corp.;2011;0.000273922597388;A
BB;Standard & Poor's Ratings Services;Mobile TeleSystems PJSC;2011;0.000035642732647;BB
BB;Standard & Poor's Ratings Services;Mobile TeleSystems PJSC;2011;0.000032525463858;BB
BB;Standard & Poor's Ratings Services;Mobile TeleSystems PJSC;2011;0.000034816954057;BB
BB+;Standard & Poor's Ratings Services;Mohawk Industries Inc.;2011;0.000037347078092;BB
BB+;Standard & Poor's Ratings Services;Mohawk Industries Inc.;2011;0.000037538168675;BB
BBB-;Standard & Poor's Ratings Services;Mondelez International, Inc.;2011;0.000016214769535;B
A;Standard & Poor's Ratings Services;Mondelez International, Inc.;2011;0.000012728568723;B
BBB+;Standard & Poor's Ratings Services;Moody's Corporation;2011;0.000000001030222;B
BBB+;Standard & Poor's Ratings Services;Moody's Corporation;2011;0.000000000549662;B
BBB;Standard & Poor's Ratings Services;Mosaic Co. (The);2011;0.000037974687418;B
BBB-;Standard & Poor's Ratings Services;Motorola Solutions Inc.;2011;0.000031497817772;B
CCC+;Standard & Poor's Ratings Services;Mueller Water Products Inc.;2011;0.000136920005603;C
BBB-;Standard & Poor's Ratings Services;Murphy Oil Corp.;2011;0.000006833637889;B
AA;Standard & Poor's Ratings Services;NIKE Inc.;2011;0.586056264295504;AA
BBB;Standard & Poor's Ratings Services;Nabors Industries Inc.;2011;0.000000000000000;B
BBB;Standard & Poor's Ratings Services;National Fuel Gas Co.;2011;0.128238340945757;B
A-;Standard & Poor's Ratings Services;National Grid Gas PLC;2011;0.000015996445103;AAA
B+;Standard & Poor's Ratings Services;New York Times Co. (The);2011;0.000095799485833;BBB
BBB-;Standard & Poor's Ratings Services;Newell Brands Inc.;2011;0.000009546677745;B
BBB-;Standard & Poor's Ratings Services;Newell Brands Inc.;2011;0.000010446568408;B
BBB+;Standard & Poor's Ratings Services;Newmont USA Ltd.;2011;0.000097917787168;B
BBB+;Standard & Poor's Ratings Services;NextEra Energy Inc.;2011;0.000048764955944;B
BBB+;Standard & Poor's Ratings Services;Nokia Corp.;2011;0.000062227774269;B
BBB;Standard & Poor's Ratings Services;Nokia Corp.;2011;0.000050297578153;B
BBB+;Standard & Poor's Ratings Services;Norfolk Southern Corp.;2011;0.000028594554302;B
BBB+;Standard & Poor's Ratings Services;Norfolk Southern Corp.;2011;0.000053190439027;B
BBB;Standard & Poor's Ratings Services;Northrop Grumman Corp.;2011;0.000032003583942;B
A-;Standard & Poor's Ratings Services;Northwest Natural Gas Co.;2011;0.323776096142045;AAA
AA;Standard & Poor's Ratings Services;Nucor Corp.;2011;0.367616327367424;AAA
BBB-;Standard & Poor's Ratings Services;O'Reilly Automotive Inc.;2011;0.000050010271127;B
BBB-;Standard & Poor's Ratings Services;O'Reilly Automotive Inc.;2011;0.000031604835158;B
B;Standard & Poor's Ratings Services;Olin Corp.;2011;0.000086439970105;BBB
BB;Standard & Poor's Ratings Services;Olin Corp.;2011;0.000086215979534;BB
BBB+;Standard & Poor's Ratings Services;Omnicom Group Inc.;2011;0.000015525716541;B
BBB;Standard & Poor's Ratings Services;Open Text Corporation;2011;0.000025719270228;B
BB+;Standard & Poor's Ratings Services;Otter Tail Corporation;2011;0.000068142851172;BB
A+;Standard & Poor's Ratings Services;PACCAR Inc.;2011;0.000028587115343;AAA
A+;Standard & Poor's Ratings Services;PACCAR Inc.;2011;0.000024943381522;AAA
BBB;Standard & Poor's Ratings Services;PG&E Corp.;2011;0.000052473565498;B
BBB;Standard & Poor's Ratings Services;PG&E Corp.;2011;0.000040523608883;B
BBB-;Standard & Poor's Ratings Services;PG&E Corp.;2011;0.000038191858342;B
BB+;Standard & Poor's Ratings Services;PLDT Inc.;2011;0.000051251147138;BB
BB+;Standard & Poor's Ratings Services;PLDT Inc.;2011;0.000046127729595;BB
BB;Standard & Poor's Ratings Services;PNM Resources Inc;2011;0.000024818702207;BB
A;Standard & Poor's Ratings Services;POSCO;2011;0.002426816156400;B
A-;Standard & Poor's Ratings Services;POSCO;2011;0.002918756676422;B
A;Standard & Poor's Ratings Services;PPG Industries Inc.;2011;0.000078353749785;AAA
BBB;Standard & Poor's Ratings Services;Packaging Corp. of America;2011;0.000011549023795;B
BBB;Standard & Poor's Ratings Services;Packaging Corp. of America;2011;0.000009991899703;B
BB+;Standard & Poor's Ratings Services;Peabody Energy Corp.;2011;0.000064076103665;BBB
BBB+;Standard & Poor's Ratings Services;Pearson PLC;2011;0.000018180172841;B
AA;Standard & Poor's Ratings Services;PepsiCo Inc.;2011;0.115186215100660;AAA
A-;Standard & Poor's Ratings Services;PepsiCo Inc.;2011;0.103251115137455;AAA
BBB;Standard & Poor's Ratings Services;PerkinElmer Inc.;2011;0.000039246106138;B
BBB;Standard & Poor's Ratings Services;PerkinElmer Inc.;2011;0.000046359952035;B
BB+;Standard & Poor's Ratings Services;Pioneer Natural Resources Co.;2011;0.000052968385745;BB
A;Standard & Poor's Ratings Services;Pitney Bowes Inc.;2011;0.000000000000000;AAA
BBB-;Standard & Poor's Ratings Services;Plains All American Pipeline L.P.;2011;0.000034811115945;B
BBB-;Standard & Poor's Ratings Services;Plains All American Pipeline L.P.;2011;0.000022580275459;B
A;Standard & Poor's Ratings Services;Portland General Electric Co.;2011;0.000035784422652;AAA
BB+;Standard & Poor's Ratings Services;Precision Drilling Corp.;2011;0.000001996041169;BB
BBB+;Standard & Poor's Ratings Services;Quest Diagnostics Inc.;2011;0.000039465182846;B
BB;Standard & Poor's Ratings Services;Range Resources Corp.;2011;0.000086383949966;BB
BB;Standard & Poor's Ratings Services;Range Resources Corp.;2011;0.000090708976170;BB
BB-;Standard & Poor's Ratings Services;Rent-A-Center Inc.;2011;0.000095900552064;BBB
A;Standard & Poor's Ratings Services;Rockwell Automation Inc.;2011;0.521353799289659;AA
BBB;Standard & Poor's Ratings Services;Rogers Communications Inc.;2011;0.000020033356601;B
BB;Standard & Poor's Ratings Services;Royal Caribbean Cruises Ltd.;2011;0.000018390261709;BB
B-;Standard & Poor's Ratings Services;Ryman Hospitality Properties, Inc.;2011;0.000006988339137;BBB
B;Standard & Poor's Ratings Services;Ryman Hospitality Properties, Inc.;2011;0.000004284068061;BBB
A;Standard & Poor's Ratings Services;SK Telecom Co. Ltd.;2011;0.000074657756251;AAA
AA-;Standard & Poor's Ratings Services;Sanofi;2011;0.829012951617177;AA
AAA;Standard & Poor's Ratings Services;Sanofi;2011;0.801279779119904;AA
BB-;Standard & Poor's Ratings Services;Scholastic Corp.;2011;0.000042256566355;BB
BB-;Standard & Poor's Ratings Services;Scotts Miracle-Gro Co. (The);2011;0.000079943356771;BB
BB+;Standard & Poor's Ratings Services;Seagate Technology plc;2011;0.000032077666717;BB
BBB;DBRS;Shaw Communications Inc.;2011;0.000003883100610;B
BBB-;Standard & Poor's Ratings Services;Shaw Communications Inc.;2011;0.000046828150605;B
BB-;Standard & Poor's Ratings Services;Silgan Holdings Inc.;2011;0.000029556512216;BB
BB-;Standard & Poor's Ratings Services;Silgan Holdings Inc.;2011;0.000029990998505;BB
B;Standard & Poor's Ratings Services;Sinclair Broadcast Group Inc.;2011;0.000057962445786;BBB
B;Standard & Poor's Ratings Services;Sinclair Broadcast Group Inc.;2011;0.000061226118910;BBB
B;Standard & Poor's Ratings Services;Sinclair Broadcast Group Inc.;2011;0.000058527449293;BBB
A-;Standard & Poor's Ratings Services;Snap-on Inc.;2011;0.000027004603896;AAA
B;Standard & Poor's Ratings Services;Sonic Automotive Inc.;2011;0.000063870415435;BBB
BBB+;Standard & Poor's Ratings Services;Sonoco Products Co.;2011;0.000026061244076;B
BBB+;Standard & Poor's Ratings Services;Sonoco Products Co.;2011;0.000020149528234;B
BBB+;Standard & Poor's Ratings Services;Sonoco Products Co.;2011;0.000024748383357;B
