age,ed,employ,address,income,debtinc,creddebt,othdebt,PD
33,2,5,2,37,8.4,1.028748,2.079252,0.09322685721097232
23,2,2,2,48,7.5,0.5112,3.0888,0.0996201382117677
25,2,5,5,35,16.5,1.969275,3.805725,0.1310693235701352
34,1,4,6,23,5.6,0.616952,0.671048,0.06148994092708327
56,1,19,26,66,3.3,0.847242,1.330758,0.00047452550111751456
32,1,7,10,23,9.8,0.861028,1.392972,0.03201846000101328
27,3,0,4,50,14.7,1.0437,6.3063,0.1966552841858334
41,2,6,7,36,13.9,1.486188,3.517812,0.10661079634374367
30,1,8,11,27,20.3,3.743523,1.737477,0.12290580082861532
38,4,13,2,126,13.7,7.612542,9.649458,0.23642904280461466
31,1,6,1,45,7.3,0.58473,2.70027,0.05981369451649669
37,3,16,8,75,0.1,0.02205,0.05295,0.001554187099307058
30,2,2,2,26,3.8,0.248976,0.739024,0.08899878941431494
44,2,8,18,43,5.0,0.5547,1.5953,0.011928168350300085
25,2,5,3,42,15.5,3.36567,3.14433,0.18851168630511306
33,2,10,2,54,3.0,0.11988,1.50012,0.014634777452708176
25,1,3,5,31,8.1,0.881361,1.629639,0.08068178534373095
45,1,14,26,46,5.1,1.262148,1.083852,0.001763326644273331
23,1,6,2,15,12.7,1.37541,0.52959,0.08075414473295368
43,1,24,22,254,7.7,7.001764,12.556236,0.004059401630438604
38,2,12,14,40,5.1,0.8976,1.1424,0.006356799786116635
24,1,1,4,16,7.2,0.877824,0.274176,0.11231116483235083
29,2,2,4,16,10.5,0.43344,1.24656,0.11125695350154964
40,1,23,16,81,10.9,0.997677,7.831323,0.0006164717773126956
47,1,3,1,21,15.4,0.067914,3.166086,0.1619109610147394
24,1,1,5,16,9.2,0.185472,1.286528,0.09262083861471232
35,2,0,6,35,12.4,2.38266,1.95734,0.21965072466552632
38,1,1,9,42,9.1,0.890526,2.931474,0.12260790425142971
48,1,10,0,70,28.2,10.67934,9.06066,0.28353409742052876
35,2,12,12,64,15.0,1.4496,8.1504,0.021841098606243656
27,1,11,1,21,11.4,0.914508,1.479492,0.02686111974000847
47,3,16,7,266,2.0,2.19184,3.12816,0.004127263588475776
31,1,3,5,16,32.3,3.064624,2.103376,0.24953652677327873
30,1,12,4,40,7.0,1.2488,1.5512,0.015597005861010173
29,2,10,3,61,6.2,0.798002,2.983998,0.02120785355707288
26,4,1,6,64,23.3,7.75424,7.15776,0.28200115665417524
38,1,21,17,65,16.8,2.53344,8.38656,0.0031830161369703915
45,1,7,17,29,6.1,0.739442,1.029558,0.019246970125354014
29,1,3,10,23,9.3,1.103724,1.035276,0.07264945003564247
52,1,17,4,73,8.7,1.054266,5.296734,0.009923628353629714
24,1,1,0,20,4.1,0.32472,0.49528,0.10460597958073653
33,2,8,13,27,9.8,1.645812,1.000188,0.03098492735537095
38,2,0,18,21,4.6,0.612444,0.353556,0.06244025264478387
26,1,0,2,15,5.4,0.38556,0.42444,0.12221788695171876
26,1,2,5,22,6.4,0.236544,1.171456,0.07201119815244114
35,1,16,0,37,17.2,4.212968,2.151032,0.07453369127960816
43,1,9,8,66,8.8,2.340624,3.467376,0.05939475984728313
45,3,8,1,140,13.9,4.1839,15.2761,0.23268464131327712
24,1,5,1,46,3.8,0.529644,1.218356,0.04658829631440496
44,3,7,16,78,10.5,3.15315,5.03685,0.08762501936131252
29,2,0,7,23,8.0,1.242,0.598,0.14326333045615433
22,2,0,0,14,17.1,0.241794,2.152206,0.17985875515018226
38,1,16,8,37,8.6,0.082732,3.099268,0.003408910644294134
46,1,6,19,30,17.6,1.41504,3.86496,0.05997796954909578
46,4,7,16,73,1.1,0.555676,0.247324,0.014300457452229264
32,1,13,11,25,7.5,0.59625,1.27875,0.005284605217195966
39,3,16,10,126,6.8,1.405152,7.162848,0.005280399862866477
40,2,15,19,138,4.1,1.222128,4.435872,0.00174557478737619
47,1,16,19,110,12.6,5.8212,8.0388,0.04167030316588252
28,1,10,1,42,8.6,1.04748,2.56452,0.031213027901060918
36,1,19,8,45,12.1,0.920205,4.524795,0.003072377772229943
41,2,13,1,93,14.7,9.542358,4.128642,0.26462969618102494
31,2,12,8,44,9.6,1.867008,2.356992,0.01978827387768396
39,1,20,8,116,4.1,2.240076,2.515924,0.002162805091782944
37,1,4,10,24,14.2,0.419184,2.988816,0.07412426471407285
35,2,11,1,62,32.4,9.702504,10.385496,0.2817641804857723
35,4,10,12,45,8.5,1.0404,2.7846,0.018087291971735114
51,4,15,30,26,13.6,2.011984,1.524016,0.003932380842920947
36,1,5,2,27,7.0,0.72387,1.16613,0.07934533022480686
23,1,3,4,13,3.1,0.045539,0.357461,0.046215236502597366
34,1,12,15,32,2.7,0.239328,0.624672,0.002914665982418051
32,2,12,11,116,5.7,4.026708,2.585292,0.028343929408658677
48,1,13,11,38,10.8,0.722304,3.381696,0.012103933045184903
35,2,1,11,24,7.8,0.417456,1.454544,0.08601704447413924
37,1,20,13,41,12.9,0.89913,4.38987,0.0016242582840648332
